Team,OVR Rating,OFF Rating,DEF Rating
Mt. Vernon,15.50,6.83,8.67
Skyline,15.22,5.02,10.21
East Newton,14.50,5.74,8.76
Warsaw,13.37,5.47,7.90
Clever,12.09,6.01,6.08
Fair Grove,11.86,4.60,7.26
Miller,11.45,4.90,6.55
El Dorado Springs,11.10,6.42,4.68
Kennett,10.85,4.23,6.63
Diamond,9.33,3.47,5.86
Clearwater with South Iron,8.76,3.66,5.10
Springfield Catholic,8.73,3.35,5.38
Thayer,7.12,0.22,6.90
Ash Grove,7.03,2.43,4.60
Lone Jack,6.89,4.25,2.64
Buffalo,6.61,0.98,5.63
Lamar,6.54,2.85,3.69
Adrian,6.50,3.52,2.98
Central (New Madrid County),6.49,3.48,3.00
Ava,5.86,1.84,4.02
Houston,5.43,3.82,1.60
East Prairie,5.40,1.48,3.93
Strafford,5.04,2.36,2.68
Butler,4.93,1.24,3.69
Stockton with Fair Play,4.64,1.82,2.82
Central (Park Hills),4.61,0.58,4.02
Cole Camp,4.59,1.18,3.41
Reeds Spring,4.50,2.36,2.15
West County,3.48,2.65,0.83
Mountain Grove,3.47,0.88,2.59
Willow Springs,3.43,0.85,2.58
Pierce City,3.00,1.08,1.92
Forsyth,2.40,0.35,2.05
Salem,2.21,0.09,2.12
Malden,1.82,2.22,-0.41
Bourbon,1.74,-0.11,1.85
Ste. Genevieve,1.73,0.38,1.35
Sarcoxie,1.68,0.99,0.69
Scott City,1.32,0.11,1.21
Marionville,1.07,-0.41,1.48
Versailles,1.00,0.10,0.89
Windsor,0.70,0.22,0.48
Portageville with Risco,0.61,0.11,0.50
Valle Catholic,0.56,-0.43,1.00
Tipton,0.55,0.99,-0.44
Hollister,0.22,-0.44,0.66
Gainesville,-0.34,-0.95,0.61
Stover,-1.82,-0.53,-1.30
Potosi,-2.18,-0.26,-1.92
Southwest (Washburn),-2.86,-2.08,-0.79
Licking,-3.03,-1.59,-1.44
Puxico,-3.21,-1.68,-1.53
Fordland,-4.07,-2.89,-1.18
Sparta,-4.23,0.15,-4.38
Spokane,-4.47,-1.61,-2.86
Woodland,-6.94,-2.68,-4.27
Caruthersville,-7.10,-3.38,-3.72
Seymour,-7.43,-2.93,-4.50
Liberty (Mountain View),-8.07,-1.19,-6.88
Cabool,-8.79,-3.73,-5.06
Grandview (Hillsboro),-9.70,-4.98,-4.72
Arcadia Valley,-10.39,-2.98,-7.41
Dexter,-13.83,-4.57,-9.26
Conway,-13.89,-3.63,-10.26
Steelville with Viburnum,-16.13,-3.81,-12.32
Kingston,-20.52,-7.70,-12.82
